"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 15 17:09:20 CST 2021","Mon Nov 15 17:09:20 CST 2021","1","Cases","ApisCases","PageEdit","","","test_case03",""
"passed","Mon Nov 15 17:09:20 CST 2021","Mon Nov 15 17:09:20 CST 2021","0","Cases","ApisCases","PageEdit","","","test_case04",""
